instance_name,dist,gammas,taus,eps_case,Bank1_start,Bank2_start,hedgeT,closestNE_knownmat,closestNEdist_knownmat,closestNE_fresh1,closestNEdist_fresh1,closestNE_moving1,closestNEdist_moving1
"TG_mu0.1_sigma0.2[0.1, 0.7]++",TG_mu0.1_sigma0.2,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",++,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",4.962276521138513e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",6.208013828823829e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.0188872685795297e-21
"TG_mu0.1_sigma0.2[0.1, 0.7]++",TG_mu0.1_sigma0.2,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",++,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.4036216093297317e-21,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",8.358438808608254e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",9.17855515146108e-22
"TG_mu0.1_sigma0.2[0.1, 0.7]++",TG_mu0.1_sigma0.2,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",++,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",4.538739328353755e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",2.357256076252373e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",3.414771829879276e-22
"TG_mu0.1_sigma0.2[0.1, 0.7]++",TG_mu0.1_sigma0.2,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",++,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",2.7639288084836358e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",3.7042040418984815e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",2.1154985698213435e-22
"TG_mu0.1_sigma0.2[0.1, 0.7]++",TG_mu0.1_sigma0.2,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",++,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.9110161244895653e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.3340614328848133e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.3494645454013486e-22
"TG_mu0.8_sigma0.2[0.7, 0.8]--",TG_mu0.8_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.20377845506033698,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.20283279058144357,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.18630224134840967
"TG_mu0.8_sigma0.2[0.7, 0.8]--",TG_mu0.8_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.6911068930978901,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.6792152646098363,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.6765931090142989
"TG_mu0.8_sigma0.2[0.7, 0.8]--",TG_mu0.8_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.498172592102899,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4893684791137134,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.490192407281676
"TG_mu0.8_sigma0.2[0.7, 0.8]--",TG_mu0.8_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.41734282276625,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4249671513158484,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4151952927303777
"TG_mu0.8_sigma0.2[0.7, 0.8]--",TG_mu0.8_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.279873440566316,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.2858384855985427,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.2797001348329533
